🙂,🙂,맛있어요 
굿,상처받을것도 없어요!! 비지니스로 하남미사 왔는데 그냥 숙면은 예의가 아니니 소맥으로 내 목을 달래줄 매장이 어디인가 찾던중! 야키토리(미사)!! 조용하고 시원하게 마시기 좋고 사장님도 친절하시고 맛도 좋았습니다! 마시다 잠든건 죄송합니다!!이건 비밀~~ 그럼 이만~~!!🤣👍👍,아버지랑 방문해서 너무맛나게 잘먹었습니다!!
맛있어요 ,맛있어요,장어 포장해서 펜션가서 맛있게 먹었어요~ 역시 숯불에 구우니 너무 맛있네요😊 사장님도 친절하세요^^
누리공원 산책 후 방문한 까페.모통이에 있어 매장좌석이 외부를 볼 수 있는 창이라 답답하지않고 베이글도 따뜻하게 데워주셔서 맛나고 스프또한 맛있게 먹었습니다.,베이글 너무 부드럽고 치즈종류도 많아요그중 무화과 치즈크림 대박 맛있음😘,말모 말모!!!!💗좋은 안주에 소주가 빠질수가어쩜 이리 맛있는지소곱창 먹을 때마다 방문하는 장터곱창쩰 맛있어서 소곱창은 여기로 꼭 옵네당식기들도 한결같이 깨끗이 관리하시구음식도 여전히 맛있네요 😊
쭈삼 볶음 먹었는데 철판위에 푸짐하게 나오고 함께 나오는 찬도 너무 맛있었어요.볶음밥은 필수!!!치즈 추가도 했더니 더 맛있게 먹었어요.사장님도 너무 친절하셨어요🤩,돼지고기 김치를 깻잎이랑 옥수수콘 그리고 마요네즈에 싸먹으니 질리지 않게 많이 먹게 되요~ 그리고 추가로 쭈꾸미삼겹 시켰는데 확실히 매콤해요. 참치마요주먹밥도 너무 맛나여! ,족발이 땡겨서 하남미사점 족발예찬을 방문했어요 족발이 부드럽고 쫄깃한 식감이 일품이더라구요하남미사  찐맛집 인정 특히 불족발은 매콤하면서도 깊은 맛이 있어 완전 내스타일 ㅎㅎ 레시피 알려줘요ㅡㅋㅋ일반 족발과 매운 족발 보쌈 함께 즐길 수 있는 세트 메뉴 주문했음당  가게 내부는 깔끔하고 아늑한 분위기로 가족 단위 손님이나 친구들과의 모임에 적합할것같아요. 위생등급받아서 청결함  말모~말모내부도 넓어서 단체모임하기좋을것같아요직원들도 친절하고 서비스 최고 👍👍 족발생각나면 또 오겠슴당^^
집 근처에 존맛 쿠키집이 있다고 해서 방문했습니다 ☺️오레오 로투스 말차 레드벨벳 구매했어요!!주먹만한 크기에 많이 달지 않아서 순삭 완전 가능하고 서브웨이 쿠키마냥 꾸덕해요!! 딱 씹었을 땐 꾸덕한데 더 씹다보면 사르르 녹는.. 완전 취향 저격 쿠키..!!!아아랑 먹으면 완전 찰떡궁합💖다음에 또 방문할께용💖💖,블루베리 요거트 존맛 그 자체,재료 신선하고 맛있어보여요 국물도 시원하고 해물도 사진 그대로 들어있습니다. 겨울에 자주 올 것 같네요~!
굿,굿,사장님이 친절하시고~ 음식 맛있게 먹었어요^^ 아직 준비중이라 매장이 어수선하지만~ 괜찮았습니다♡
진미채튀김이 뭉태기로 나와서 별로였어요 성의있게 해주세요 테라스쪽 담배냄새 너무심해요 ,안주도 맛있고 생맥주 포장했는데 정말 센스있게 아이스백+얼음 넣어주셔서 시원했어요ㅎㅎ ,치킨이 맛있다
맛이 없어도 너무 없어요ㅠ온라인 쇼핑몰에서 밀키트 사서 먹어도 이것보다 맛있겠어요치즈2인셋트 4만원넘게 주고 먹을 맛이 도저히 아닙니다 심지어 치즈도 아무 맛이 안나요 그나마 볶음밥은 먹을만 했어요 내인생 통틀어 젤 맛없는 닭갈비 였습니다,음식 맛도 좋았고 양념도 적당했어요. 어린이 셋트도 있네요. 야채는 셀프로 이용 가능해요.,다 구워주시니까 너무 좋아요 갈매기랑 목살 맛있어요🍚🍚🍚🍚
맛있어요~ 알림받기쿠폰으로 조개탕까지👍🏻날치알볶음밥도 맛있어요다음엔 가리비 치즈구이 먹으러 와야겠어요~,메뉴 구성이 좋고 직원분이 직접 구워주세요~맛있어요~,가까워서 좋아요.
큰 스피커와 오디오관련 물건들도 많아서구경하기에도 좋고 사진찍는 재미가 있어요노래도 계속 나와서 갬성갬성하네옄ㅋㅋ원하는 음악도 틀어주시더라고요커피나 디저트는 당연 맛있고사장님도 친절하세요다음에 또 가고싶네여 ㅇㅅㅇ,큰 스피커와 오디오관련 물건들도 많아서구경하기에도 좋고 사진찍는 재미가 있어요노래도 계속 나와서 갬성갬성하네옄ㅋㅋ원하는 음악도 틀어주시더라고요커피나 디저트는 당연 맛있고사장님도 친절하세요다음에 또 가고싶네여 ㅇㅅㅇ,트리플 바닐라라떼 레전드 .. 친구 와서 음료 몇개 더 주문해봤는데 그냥 진짜 트리플이에요... 바닐라에 진심인 최가다방..💗
맛있었어요 친절해서 좋았어요,만만히 가기 좋아요,장마철에도 땡기는 이집 야장술맛이란...퇴근길 소확행을 느끼게해주셔서 늘감사합니다 사장님덕분에 내일도 으쌰으쌰할께용!!
그냥 지나가다가 어? 야키토리네 하고 들어왔는데기대이상으로 맛있어서 너무 좋았음껍질 대파구이 항정살 강추산토리랑 갈기면 최상의조합넘무맛있어서 리뷰를 남길수밖에없음강추합니다 🔥👍,2차로 가기 좋았어요. 메뉴 다양하고 술도 다양해요. 초저녁에 갔더니 손님 많이 없어 조용해서 좋네요. 집만 가깝다면 더 자주 갈듯 해요.,사시미는 안먹는게 정신과 몸 건강에 좋을것 같습니다. 광어맛이 이상해서 이게 언제 썰은 회냐 여쭈어 보니 어제 들어왔다고 하시며 다시 내오셨는데 여전히 먹으면 안될것 같아 안먹었습니다. 두점정도는 먹었는데 탈이날련지는 지켜봐야겠네요. 간판이 이자카야인데 신선한회를 바로 직접 썰어 손님께 못낸다면 팔지 말아야한다고 생각됩니다.
음식 너무 맛있고 갈비찜 계란탕 특히 맛있습니다.맛집이라 들어서 방문했는데 대만족합니다. 근처 오실분들 들러보시는거 추천드려요~,아빠가 갈비탕 땡긴다고 하셔서 급하게 찾게된 곳인데 갈비탕 완전 푸짐하고 고기도 맛있어요! 완전 몸보신 맛집 ❤ ️,오늘은 회식으로 방문했습니다~~고기도 기가막히게 구워주시고 매장도정말 시원하고쾌적해서 단골이에요!고기도 너무맛있고 신선합니다.삼겹살과 등심덧살 강추합니다!!함께나오는 밑반찬도 다 고기와잘어울리고 맛있어요!앞으로도 자주올거에요!
바삭바삭! 양배추샐러드 서비스. 닭 당 크기 큼지막하고 쏘쏘해요,언제나 맛있고 특히나 건강한 맛입니다. 치킨이 부담이 없어요!,속전속결 빠르고 맛도 있고 최고네요
여기는 진짜 말이 필요없는집이에요 정말 신선하고 고기 완전 촤고고 맛은 말이 필요없어요 여가도 제가 아끼는 소중한 카츠집이에요 직원분들 친절하시고 엄청 때끗하고 아주 최고 좋아요👍👍👍👍👍,남자친구랑 서울 일본 카츠 맛집들 주로 찾아다니는데여기 상로스카츠가 진짜 맛있다해서 처음 방문했어요근데 진짜 여기 상로스카츠는 일본에서 먹은거보다 맛있어서 진짜 띠요용 하는 맛이었습니다!!훈연향이 진짜 대박이네요..흑백요리사 백종원 빙의해서 먹게됩니다 😆😆,커피가성비갑
친절하세요 :),일하는곳 근처여서 가끔 점심먹으러 가는데 항상 맛있게 먹고와요👍👍 사장님도 너무 친절하시구~ 매장도 깨끗해요! 오늘도 넘 맛있게 잘 먹었습니다😋🤗,분위기 좋고 맛있네용 재방문 각
저랑 남편이 정한 최애 카페🐶🥬사장님도 친절하고 음료도 싸고 맛있어요~이번에 같은 건물로 이사 오면서 꾸준히 방문중인데 아담하고 방문한 강아지들도 순해서 들렸다가기 넘 좋아요!,저랑 남편이 정한 최애 카페🐶🥬사장님도 친절하고 음료도 싸고 맛있어요~이번에 같은 건물로 이사 오면서 꾸준히 방문중인데 아담하고 방문한 강아지들도 순해서 들렸다가기 넘 좋아요!,항상 서비스 챙겨주셔서 감동이에요 꼬마김밥 짱 튼실해서 추천입니다
너무 맛있어요!!! 자주 방문하겠습니다!!!!,간장 모둠에 안창살 마늘 추가해서 먹었습니다!!너무너무 맛있었구 특히 사장님 추천 안창살 마늘 최고에요!산토리 하이볼도 진짜 맛있었습니다.. 꼭 함께 드세요..!!,깔끔하게 운영되고 있네요
뜨끈한 순대국이 먹고싶어서 왔어요.양선지 순대국 둘다 넘 맛있네요.국내산 머릿고기로 일일이 손질하셔서 만드셔서 그런지 담백하고 느끼하지않고 국물도 깔끔해요~~!!깍두기 맛도 최고!! 깍두기 한통 사가고싶어요. ㅎㅎ,하얀 국물이 엄청 진하고 고소하게 맛있어요 기본적인 간이 되어있어서 빨간 다대기만 넣어 드셔보세요 >.< 순대국만 먹기 아쉬운 날엔 찰순대+편육이 추가로 나오는 정식으로 먹으면 든든하게 아주 배부르게 먹기 좋네요 ! 물론 저희 순대국 두 그릇 다 비우고 순대랑 편육도 거의 다 먹었어요 엄청 배부르다면서 나왔네요 밑반찬으로 나오는 고추 장아찌? 새콤매콤해서 곁들여 먹기에 짱맛! 혼밥하기에도 좌석이 좋고 단체로 와서 먹어도 테이블 충분 할 것 같아서 편하게 방문 하시면 될 것 같습니다 순대국 맛집 인정쓰 !! ,먹을만해요~~
,포장 해와서 먹었어요79동네 빠삭파전 댕맛탱이에여....진짜 빠삭하고 속은 촉촉해서 식감이 너무 좋아요ㅠㅠ❤️,육사시미 엄청 신선하고 최고에요!합리적인 가격대에 이정도 퀄리티라니 늘 주문해서 먹을 때 마다 감탄합니다...👏👏👏정말 만족스러운 저녁이였어요 또 주문할게요😛
매콤하니 맛있어요~밑반찬도 👍,가끔씩 갑니다,돈까스 맛있어요
처음 시켜봐서 뭐가 맛있을지 몰라 하프앤하프 2가지 맛으로 주문했어요. 미남고구마피자랑 콤비네이션 반반 주문했는데 둘 다 취향저격~ 치즈도 많이 뿌려주시고 재료 아낌 없이 넣어주셔서 넘 맛있고 든든하게 먹었습니다😉,처음 시켜봐서 뭐가 맛있을지 몰라 하프앤하프 2가지 맛으로 주문했어요. 미남고구마피자랑 콤비네이션 반반 주문했는데 둘 다 취향저격~ 치즈도 많이 뿌려주시고 재료 아낌 없이 넣어주셔서 넘 맛있고 든든하게 먹었습니다😉,아이랑 먹기 편해요~~월남쌈도 있네요!
베이컨치즈버거 앏은 감자 스프라이트,너무 맛있어요,굿
꼬들살 등 고기도 엄청 맛있지만 저는 이집 껍데기랑 꼬리가 너무 맛있습니다. 배불러서 남은 고기를 구워서 집에 가져왔는데 다음날 남은 껍데기를 데워 먹고 눈이 번쩍! 사장님 친절하시고 주차는 다소 협소하니 미리 문의하고 가시면 좋아요.,꼬들살 등 고기도 엄청 맛있지만 저는 이집 껍데기랑 꼬리가 너무 맛있습니다. 배불러서 남은 고기를 구워서 집에 가져왔는데 다음날 남은 껍데기를 데워 먹고 눈이 번쩍! 사장님 친절하시고 주차는 다소 협소하니 미리 문의하고 가시면 좋아요.,가성비 정말 좋습니다 3년 전 방문했다가 오랜만에 왔는데 아주 잘 먹었습니다! 아기와 와도 참 좋아요! :) 
커피도 맛있는데  샌드위치 맛집이에요. 일정있어서 샌드위치 예약주문 했었는데 너무 좋았습니다!!,제가 너무 좋아하는곳이에요! 샌드위치 종류별로 다 먹어봤는데 하나같이 제 스타일입니다 ㅎㅎ 특히 클래식 샌드위치는 언제 먹어도 질리지않아요! 새로 출시 된 매콤 치킨텐더도 너무 맛있네요 오래오래 영업해주세요 🩷,고기질도 좋고 맛있게 구워주셔서 잘 먹고왔어요~또 가려구요!
시그니처 오리지널 완죤 강추아메리칸 스탈나는 맛♡앞으로 치모니 크릉입니닷,♡,맛있어요! 사장님께서 친절하세요~제로콜라가 있어서 좋아요감자튀김이 케이준 프라이라 좋아요! ㅎㅎ 또 올게용
동네에 있어서 포장으로 종종 사먹었는데... 네이버 포장 주문시 주문 누락이 잘 되는거같아요 ㅠㅠ 주문한지 한참 되어서 얼마나 걸릴지 전화하면 그때서야 주문 확인하시는지.. 언제 전화해도 이십분 걸린다고 하시네요. 배달 플랫폼으로도 주문 많이 들어와서 바쁘신 건 알겠지만 네이버주문도 확인 잘 부탁드립니다. 양도 다른 곳보다 적어요...,양념 약하게 해달라고 요청사항에 적었는데 못보셨나봐요~그래도 맛있게 잘먹었습니다!,굿
굿,굿,자리없을까봐 예약하고 갔는데 역시나 사람이 많았어요.오도독구이랑 껍데기 맛있고 라면이랑 같이나오는 김치도 짱맛!!!사진은 없지만 비빔국수도 강추에요~~
잘 먹었습니다.,굿,간간히 와서 먹기 좋습니다
잘먹었습니다,오늘도 점심은 김치찌개!!!양이 진인짜 많아서 배터지게 먹고왔습니다ㅎㅎ옆테이블 삼겹살이 눈에 들어오긴 했지만.. 다음에는 꼭 삼겹살  먹어보려구용!!두꺼운 고기가 매력적이에요🧡오늘도 맛잇게 먹었습니다ㅎㅎ,처음 방문해봤는데 회도 신선하고 초밥도 알차게 구성되어있고 맛있네요~!사장님께서 자부심있게 하시는 이유를 알거같아요~!
 맛있어요^^ 혼밥하기도 좋을 듯,고기도 많이 주고 국물이 진해서 맛있어서 순삭했어요,미분당 말해모합니까정말 맛나용:)혼밥하기도 좋구다른 지점도 가봤는데 여긴 더 맛있는듯?!사장님들이 한시도 안 쉬시고 계속 닦으셔서너무 빛이 납니다청결해서 더 먹기도 좋아요🩷미사역점 최고~~벌써 두번째 방문!!:)  또또또올게용내돈내산 노리뷰이벤트입니다^^
콜팝이랑 떡볶이 세트 먹으러 왔어요 ~~! 깔끔하고 메뉴가 다양해요!,메뉴 조합도 좋고 떡볶이 순대 튀김 전부 다 맛있어요! 포장 주문도 빨리 나와서 잘 먹었습니다🙂🖤보통 메뉴에 떡꼬치는 잘 없는데 너무 맛있게 먹었습니다~!,
믿고 먹는 비비큐 맛있습니당 😀😀,믿고 먹는 비비큐 맛있습니당 😀😀,해산물팟타이 자극적이지 않고 맛있었어요 ㅎㅎ시그니처 쌀국수 + 짜조 세트는 말해모해 에요 😀추천합니당 ㅎㅎ 든든하게 혼밥하기도 좋아요!
